Wavelength(nm),Irradiance_Mar_25-29
93.45,4.0267e-06
93.55,2.7272e-06
93.65,5.1914e-06
93.75,3.7835e-05
93.85,1.5513e-05
93.95,3.0579e-06
94.05,2.3904e-06
94.15,2.6326e-06
94.25,3.5767e-06
94.35,4.4822e-06
94.45,1.4472e-05
94.55,5.0573e-06
94.65,2.8196e-06
94.75,3.6875e-06
94.85,9.5555e-06
94.95,5.8984e-05
95.05,3.2628e-05
95.15,3.2945e-06
95.25,2.6368e-06
95.35,3.0314e-06
95.45,2.6773e-06
95.55,2.5621e-06
95.65,2.7079e-06
95.75,2.8268e-06
95.85,4.4918e-06
95.95,3.3494e-06
96.05,2.6831e-06
96.15,3.1052e-06
96.25,3.0236e-06
96.35,2.9746e-06
96.45,3.5367e-06
96.55,3.0984e-06
96.65,2.5322e-06
96.75,2.9493e-06
96.85,2.9838e-06
96.95,3.301e-06
97.05,4.231e-06
97.15,2.5553e-05
97.25,0.00012796
97.35,2.0208e-05
97.45,4.8858e-06
97.55,5.6374e-06
97.65,0.00059299
97.75,0.00051384
97.85,4.4556e-06
97.95,2.8795e-06
98.05,2.7855e-06
98.15,4.565e-06
98.25,3.2236e-06
98.35,4.1677e-06
98.45,4.1923e-06
98.55,3.9397e-06
98.65,3.855e-06
98.75,4.026e-06
98.85,1.5343e-05
98.95,3.0556e-05
99.05,2.5409e-05
99.15,5.6299e-05
99.25,1.4088e-05
99.35,4.4252e-06
99.45,5.6403e-06
99.55,5.1838e-06
99.65,4.2302e-06
99.75,5.597e-06
99.85,4.7042e-06
99.95,9.8018e-06
100.05,5.8421e-06
100.15,3.7158e-06
100.25,3.4975e-06
100.35,3.4938e-06
100.45,3.6834e-06
100.55,5.1872e-06
100.65,5.6284e-06
100.75,3.1724e-06
100.85,5.1328e-06
100.95,8.7926e-06
101.05,1.0876e-05
101.15,3.8299e-06
101.25,4.677e-06
101.35,3.9187e-06
101.45,4.3757e-06
101.55,5.6417e-06
101.65,4.8224e-06
101.75,6.5922e-06
101.85,4.9237e-06
101.95,4.517e-06
102.05,5.8196e-06
102.15,8.7274e-06
102.25,6.5393e-06
102.35,8.7448e-06
102.45,5.1693e-05
102.55,0.00043707
102.65,0.00019756
102.75,2.7605e-05
102.85,1.032e-05
102.95,6.2086e-06
103.05,8.6971e-06
103.15,0.00028707
103.25,0.00016436
103.35,5.0854e-06
103.45,5.5536e-06
103.55,1.6296e-05
103.65,8.8322e-05
103.75,0.00022674
103.85,3.2487e-05
103.95,6.3328e-06
104.05,6.0193e-06
104.15,9.437e-06
104.25,5.9303e-06
104.35,5.5632e-06
104.45,6.1221e-06
104.55,5.9638e-06
104.65,5.4999e-06
104.75,5.6647e-06
104.85,5.9016e-06
104.95,6.5367e-06
105.05,6.4719e-06
105.15,6.3373e-06
105.25,6.4388e-06
105.35,6.6939e-06
105.45,7.3317e-06
105.55,7.0032e-06
105.65,5.1094e-06
105.75,5.4992e-06
105.85,6.0396e-06
105.95,6.5347e-06
106.05,7.0069e-06
106.15,7.2879e-06
106.25,7.0576e-06
106.35,7.4047e-06
106.45,7.3844e-06
106.55,7.8814e-06
106.65,8.3739e-06
106.75,8.7967e-06
106.85,8.0563e-06
106.95,7.0798e-06
107.05,7.3938e-06
107.15,8.6497e-06
107.25,1.152e-05
107.35,1.3634e-05
107.45,1.3243e-05
107.55,1.1009e-05
107.65,9.6002e-06
107.75,9.4465e-06
107.85,9.0875e-06
107.95,7.7331e-06
108.05,6.5996e-06
108.15,8.4985e-06
108.25,1.3051e-05
108.35,2.0967e-05
108.45,3.0848e-05
108.55,3.4336e-05
108.65,2.6882e-05
108.75,1.6866e-05
108.85,1.1503e-05
108.95,9.2459e-06
109.05,9.5136e-06
109.15,1.0381e-05
109.25,1.2447e-05
109.35,1.225e-05
109.45,1.2376e-05
109.55,1.4814e-05
109.65,1.5081e-05
109.75,1.3311e-05
109.85,1.1687e-05
109.95,1.1255e-05
110.05,1.2129e-05
110.15,1.4509e-05
110.25,1.4509e-05
110.35,1.4509e-05
110.45,1.4509e-05
110.55,1.4509e-05
110.65,1.7433e-05
110.75,1.7433e-05
110.85,1.7433e-05
110.95,1.7433e-05
111.05,1.7433e-05
111.15,1.7433e-05
111.25,1.7433e-05
111.35,1.6499e-05
111.45,1.5266e-05
111.55,1.223e-05
111.65,1.1296e-05
111.75,1.1493e-05
111.85,1.1219e-05
111.95,9.5373e-06
112.05,9.2529e-06
112.15,1.3303e-05
112.25,1.8127e-05
112.35,1.6701e-05
112.45,1.4838e-05
112.55,1.4194e-05
112.65,1.502e-05
112.75,1.73e-05
112.85,1.966e-05
112.95,1.7262e-05
113.05,7.9486e-06
113.15,8.1659e-06
113.25,8.389e-06
113.35,8.6184e-06
113.45,8.854e-06
113.55,9.096e-06
113.65,9.3446e-06
113.75,9.6001e-06
113.85,9.8626e-06
113.95,1.0132e-05
114.05,1.0409e-05
114.15,1.0694e-05
114.25,1.0986e-05
114.35,1.1286e-05
114.45,1.1595e-05
114.55,1.1911e-05
114.65,1.2237e-05
114.75,1.2572e-05
114.85,1.2915e-05
114.95,1.3269e-05
115.05,1.3631e-05
115.15,1.4004e-05
115.25,1.4387e-05
115.35,1.478e-05
115.45,1.5184e-05
115.55,1.5599e-05
115.65,1.6025e-05
115.75,1.6463e-05
115.85,1.6913e-05
115.95,1.7376e-05
116.05,1.7506e-05
116.15,2.6355e-05
116.25,1.9588e-05
116.35,2.043e-05
116.45,2.1207e-05
116.55,2.1662e-05
116.65,3.037e-05
116.75,2.8973e-05
116.85,2.2082e-05
116.95,2.4995e-05
117.05,3.6927e-05
