wavelength_nm,intensity
285.21503,2.8248e-10
285.35214,2.8164e-10
285.4893,3.0044e-10
285.6264,3.0611e-10
285.76355,3.0617e-10
285.9007,3.0571e-10
286.0378,3.0604e-10
286.17496,3.0572e-10
286.31207,3.0285e-10
286.4492,3.0177e-10
286.58633,3.0283e-10
286.72345,3.0207e-10
286.86057,3.0389e-10
286.9977,3.0336e-10
287.13483,3.0304e-10
287.27194,3.0267e-10
287.40906,3.0198e-10
287.5462,3.024e-10
287.6833,3.0084e-10
287.8204,3.0079e-10
287.95752,3.0177e-10
288.09464,3.0004e-10
288.23175,2.9874e-10
288.36884,2.9693e-10
288.50595,2.9725e-10
288.64307,2.9721e-10
288.78018,2.9808e-10
288.9173,2.9782e-10
289.05438,2.9781e-10
289.19147,2.9627e-10
289.32858,2.9531e-10
289.46567,2.9416e-10
289.60278,2.9386e-10
289.73987,2.8982e-10
289.87698,2.912e-10
290.01407,2.91e-10
290.15115,2.9225e-10
290.28824,2.926e-10
290.42535,2.9059e-10
290.56244,2.8775e-10
290.69952,2.8842e-10
290.8366,2.9111e-10
290.9737,2.9047e-10
291.11078,2.8999e-10
291.24783,2.896e-10
291.38492,2.8888e-10
291.522,2.8964e-10
291.6591,2.8945e-10
291.79614,2.8843e-10
291.93323,2.8804e-10
292.07028,2.8731e-10
292.20734,2.8715e-10
292.34442,2.8746e-10
292.4815,2.8576e-10
292.61856,2.8427e-10
292.75565,2.8357e-10
292.8927,2.8392e-10
293.02975,2.8432e-10
293.1668,2.8657e-10
293.3039,2.8554e-10
293.44095,2.8422e-10
293.57797,2.8258e-10
293.71503,2.8091e-10
293.8521,2.8163e-10
293.98914,2.8191e-10
294.1262,2.8205e-10
294.26324,2.7969e-10
294.4003,2.7775e-10
294.53732,2.6858e-10
294.67438,2.7154e-10
294.81143,2.7555e-10
294.94846,2.7909e-10
295.0855,2.7812e-10
295.22253,2.786e-10
295.3596,2.7863e-10
295.4966,2.7745e-10
295.63364,2.755e-10
295.7707,2.7638e-10
295.9077,2.7439e-10
296.04474,2.7069e-10
296.18176,2.7288e-10
296.3188,2.7504e-10
296.45584,2.7562e-10
296.59283,2.7497e-10
296.72986,2.7485e-10
296.86688,2.738e-10
297.0039,2.7376e-10
297.14093,2.7421e-10
297.27792,2.7289e-10
297.41498,2.7194e-10
297.55197,2.7219e-10
297.689,2.7075e-10
297.826,2.702e-10
297.96298,2.7016e-10
298.1,2.6855e-10
298.237,2.6188e-10
298.374,2.5399e-10
298.51102,2.5586e-10
298.648,2.6481e-10
298.785,2.6651e-10
298.922,2.6467e-10
299.05902,2.6267e-10
299.19598,2.6562e-10
299.33298,2.6686e-10
299.46997,2.6703e-10
299.60696,2.6416e-10
299.74396,2.6321e-10
299.88092,2.641e-10
300.0179,2.6416e-10
300.1549,2.634e-10
300.2919,2.6135e-10
300.42886,2.6017e-10
300.56586,2.5983e-10
300.70282,2.605e-10
300.83978,2.6029e-10
300.97675,2.6085e-10
301.11374,2.619e-10
301.2507,2.6204e-10
301.38766,2.5853e-10
301.52463,2.5855e-10
301.6616,2.5866e-10
301.79855,2.5679e-10
301.93552,2.5647e-10
302.07248,2.5854e-10
302.20944,2.5722e-10
302.3464,2.5054e-10
302.48334,2.4531e-10
302.6203,2.4844e-10
302.75726,2.5002e-10
302.89423,2.5147e-10
303.03116,2.523e-10
303.16812,2.5382e-10
303.30505,2.5352e-10
303.442,2.4909e-10
303.57892,2.461e-10
303.71588,2.4837e-10
303.8528,2.5037e-10
303.98975,2.518e-10
304.12668,2.5207e-10
